date,name,is_holiday
2015-01-01,New Year's Day,1
2015-01-02,New Year's Holiday,1
2015-01-07,Orthodox Christmas,1
2015-01-19,Orthodox Epiphany,1
2015-03-03,Mother's Day,1
2015-03-08,International Women's Day,1
2015-04-09,National Unity Day,1
2015-04-10,Orthodox Good Friday,1
2015-04-11,Orthodox Holy Saturday,1
2015-04-12,Orthodox Easter Sunday,1
2015-04-13,Orthodox Easter Monday,1
2015-05-09,Victory Day,1
2015-05-12,Saint Andrew the First-Called Day,1
2015-05-26,Independence Day,1
2015-08-28,Saint Mary's Day (Mariamoba),1
2015-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2015-11-23,Saint George's Day (Giorgoba),1
2016-01-01,New Year's Day,1
2016-01-02,New Year's Holiday,1
2016-01-07,Orthodox Christmas,1
2016-01-19,Orthodox Epiphany,1
2016-03-03,Mother's Day,1
2016-03-08,International Women's Day,1
2016-04-09,National Unity Day,1
2016-04-29,Orthodox Good Friday,1
2016-04-30,Orthodox Holy Saturday,1
2016-05-01,Orthodox Easter Sunday,1
2016-05-02,Orthodox Easter Monday,1
2016-05-09,Victory Day,1
2016-05-12,Saint Andrew the First-Called Day,1
2016-05-26,Independence Day,1
2016-08-28,Saint Mary's Day (Mariamoba),1
2016-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2016-11-23,Saint George's Day (Giorgoba),1
2017-01-01,New Year's Day,1
2017-01-02,New Year's Holiday,1
2017-01-07,Orthodox Christmas,1
2017-01-19,Orthodox Epiphany,1
2017-03-03,Mother's Day,1
2017-03-08,International Women's Day,1
2017-04-09,National Unity Day,1
2017-04-14,Orthodox Good Friday,1
2017-04-15,Orthodox Holy Saturday,1
2017-04-16,Orthodox Easter Sunday,1
2017-04-17,Orthodox Easter Monday,1
2017-05-09,Victory Day,1
2017-05-12,Saint Andrew the First-Called Day,1
2017-05-26,Independence Day,1
2017-08-28,Saint Mary's Day (Mariamoba),1
2017-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2017-11-23,Saint George's Day (Giorgoba),1
2018-01-01,New Year's Day,1
2018-01-02,New Year's Holiday,1
2018-01-07,Orthodox Christmas,1
2018-01-19,Orthodox Epiphany,1
2018-03-03,Mother's Day,1
2018-03-08,International Women's Day,1
2018-04-06,Orthodox Good Friday,1
2018-04-07,Orthodox Holy Saturday,1
2018-04-08,Orthodox Easter Sunday,1
2018-04-09,National Unity Day,1
2018-04-09,Orthodox Easter Monday,1
2018-05-09,Victory Day,1
2018-05-12,Saint Andrew the First-Called Day,1
2018-05-26,Independence Day,1
2018-08-28,Saint Mary's Day (Mariamoba),1
2018-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2018-11-23,Saint George's Day (Giorgoba),1
2019-01-01,New Year's Day,1
2019-01-02,New Year's Holiday,1
2019-01-07,Orthodox Christmas,1
2019-01-19,Orthodox Epiphany,1
2019-03-03,Mother's Day,1
2019-03-08,International Women's Day,1
2019-04-09,National Unity Day,1
2019-04-26,Orthodox Good Friday,1
2019-04-27,Orthodox Holy Saturday,1
2019-04-28,Orthodox Easter Sunday,1
2019-04-29,Orthodox Easter Monday,1
2019-05-09,Victory Day,1
2019-05-12,Saint Andrew the First-Called Day,1
2019-05-26,Independence Day,1
2019-08-28,Saint Mary's Day (Mariamoba),1
2019-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2019-11-23,Saint George's Day (Giorgoba),1
2020-01-01,New Year's Day,1
2020-01-02,New Year's Holiday,1
2020-01-07,Orthodox Christmas,1
2020-01-19,Orthodox Epiphany,1
2020-03-03,Mother's Day,1
2020-03-08,International Women's Day,1
2020-04-09,National Unity Day,1
2020-04-17,Orthodox Good Friday,1
2020-04-18,Orthodox Holy Saturday,1
2020-04-19,Orthodox Easter Sunday,1
2020-04-20,Orthodox Easter Monday,1
2020-05-09,Victory Day,1
2020-05-12,Saint Andrew the First-Called Day,1
2020-05-26,Independence Day,1
2020-08-28,Saint Mary's Day (Mariamoba),1
2020-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2020-11-23,Saint George's Day (Giorgoba),1
2021-01-01,New Year's Day,1
2021-01-02,New Year's Holiday,1
2021-01-07,Orthodox Christmas,1
2021-01-19,Orthodox Epiphany,1
2021-03-03,Mother's Day,1
2021-03-08,International Women's Day,1
2021-04-09,National Unity Day,1
2021-04-30,Orthodox Good Friday,1
2021-05-01,Orthodox Holy Saturday,1
2021-05-02,Orthodox Easter Sunday,1
2021-05-03,Orthodox Easter Monday,1
2021-05-09,Victory Day,1
2021-05-12,Saint Andrew the First-Called Day,1
2021-05-26,Independence Day,1
2021-08-28,Saint Mary's Day (Mariamoba),1
2021-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2021-11-23,Saint George's Day (Giorgoba),1
2022-01-01,New Year's Day,1
2022-01-02,New Year's Holiday,1
2022-01-07,Orthodox Christmas,1
2022-01-19,Orthodox Epiphany,1
2022-03-03,Mother's Day,1
2022-03-08,International Women's Day,1
2022-04-09,National Unity Day,1
2022-04-22,Orthodox Good Friday,1
2022-04-23,Orthodox Holy Saturday,1
2022-04-24,Orthodox Easter Sunday,1
2022-04-25,Orthodox Easter Monday,1
2022-05-09,Victory Day,1
2022-05-12,Saint Andrew the First-Called Day,1
2022-05-26,Independence Day,1
2022-08-28,Saint Mary's Day (Mariamoba),1
2022-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2022-11-23,Saint George's Day (Giorgoba),1
2023-01-01,New Year's Day,1
2023-01-02,New Year's Holiday,1
2023-01-07,Orthodox Christmas,1
2023-01-19,Orthodox Epiphany,1
2023-03-03,Mother's Day,1
2023-03-08,International Women's Day,1
2023-04-09,National Unity Day,1
2023-04-14,Orthodox Good Friday,1
2023-04-15,Orthodox Holy Saturday,1
2023-04-16,Orthodox Easter Sunday,1
2023-04-17,Orthodox Easter Monday,1
2023-05-09,Victory Day,1
2023-05-12,Saint Andrew the First-Called Day,1
2023-05-26,Independence Day,1
2023-08-28,Saint Mary's Day (Mariamoba),1
2023-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2023-11-23,Saint George's Day (Giorgoba),1
2024-01-01,New Year's Day,1
2024-01-02,New Year's Holiday,1
2024-01-07,Orthodox Christmas,1
2024-01-19,Orthodox Epiphany,1
2024-03-03,Mother's Day,1
2024-03-08,International Women's Day,1
2024-04-09,National Unity Day,1
2024-05-03,Orthodox Good Friday,1
2024-05-04,Orthodox Holy Saturday,1
2024-05-05,Orthodox Easter Sunday,1
2024-05-06,Orthodox Easter Monday,1
2024-05-09,Victory Day,1
2024-05-12,Saint Andrew the First-Called Day,1
2024-05-26,Independence Day,1
2024-08-28,Saint Mary's Day (Mariamoba),1
2024-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2024-11-23,Saint George's Day (Giorgoba),1
2025-01-01,New Year's Day,1
2025-01-02,New Year's Holiday,1
2025-01-07,Orthodox Christmas,1
2025-01-19,Orthodox Epiphany,1
2025-03-03,Mother's Day,1
2025-03-08,International Women's Day,1
2025-04-09,National Unity Day,1
2025-04-18,Orthodox Good Friday,1
2025-04-19,Orthodox Holy Saturday,1
2025-04-20,Orthodox Easter Sunday,1
2025-04-21,Orthodox Easter Monday,1
2025-05-09,Victory Day,1
2025-05-12,Saint Andrew the First-Called Day,1
2025-05-26,Independence Day,1
2025-08-28,Saint Mary's Day (Mariamoba),1
2025-10-14,Svetitskhoveli Day (Svetitskhovloba),1
2025-11-23,Saint George's Day (Giorgoba),1
